path,year,week,mission,level,song,author,description,type,premium+,location
,2018,47,strum with the machines,6,light the spark,the yousicians,fast strumming,song,FALSE,guitar-challenges
,2018,47,strum with the machines,7,worry free,the yousicians,melody,song,FALSE,guitar-challenges
,2018,46,three minute love story,2,buenos aires,the yousicians,basic riff,song,FALSE,guitar-challenges
,2018,46,three minute love story,4,anhelo,the yousicians,cowboy chords,song,FALSE,guitar-challenges
,2018,46,three minute love story,7,anhelo,the yousicians,fingerpicking,song,FALSE,guitar-challenges
,2018,46,three minute love story,8,buenos aires,the yousicians,rhythm & melody,song,FALSE,guitar-challenges
,2018,45,the challenge must go on,2,the excalibur,the yousicians,basic riff,song,FALSE,guitar-challenges
,2018,45,the challenge must go on,4,waltz into the night,the yousicians,melody,song,FALSE,guitar-challenges
,2018,45,the challenge must go on,6,waltz into the night,the yousicians,fancy chords,song,FALSE,guitar-challenges
,2018,45,the challenge must go on,9,the excalibur,the yousicians,rhythm & lead,song,FALSE,guitar-challenges
