location,mission,premium+,type,author,description,level,song
guitar-learn-missions-knowledge,the musical alphabet,FALSE,song,the yousicians,exercise,2,scale: first position
guitar-learn-missions-knowledge,the musical alphabet,FALSE,song,the yousicians,exercise,2,arpeggio: major & minor (open)
guitar-learn-missions-knowledge,the musical alphabet,FALSE,video,-,-,2,video: basic note lengths
guitar-learn-missions-knowledge,the musical alphabet,FALSE,song,the yousicians,riff,2,"whole, half, quarter"
guitar-learn-missions-knowledge,ear training: smaller steps,FALSE,puzzle,-,-,2,ear puzzles: four notes
guitar-learn-missions-knowledge,ear training: smaller steps,FALSE,puzzle,-,-,2,ear puzzles six notes
guitar-learn-missions-knowledge,ear training: smaller steps,FALSE,puzzle,-,-,2,ear puzzles eight notes
guitar-learn-missions-knowledge,ear training: smaller steps,FALSE,finder,-,-,2,note-finder: major arpeggio
guitar-learn-missions-knowledge,ear training: smaller steps,FALSE,finder,-,-,2,note--finder: minor arpeggion
guitar-learn-missions-rhythm,skill test (rhythm level 2),FALSE,song,the yousicians,basic rhythm,2,swamp thang
guitar-learn-missions-rhythm,skill test (rhythm level 2),FALSE,trainer,-,-,2,chord trainer: E-Em-Am
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,video,-,-,2,video: learn C
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,trainer,-,-,2,chord trainer: C
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,trainer,-,-,2,trainer: cowboy chord review 1
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,scrapyard waltz
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,hypnotize
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,silicon sunset
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,c-rockodile
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,easy hop
guitar-learn-missions-rhythm,cowboy chords 2: C,FALSE,song,the yousicians,cowboy chords,2,rasta bots
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,video,-,-,2,video: learn G
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,trainer,-,-,2,chord trainer G
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,trainer,-,-,2,trainer: cowboy chord review 2
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,song,the yousicians,cowboy chords,2,conquer the galaxy
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,song,traditional,basic cowboy chords,2,el condor pasa
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,video,-,-,2,video: strum down & up
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,trainer,-,-,2,trainer: strum down & up
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,song,the yousicians,cowboy chords,2,livewire
guitar-learn-missions-rhythm,cowboy chords 3: G,FALSE,song,the yousicians,cowboy chords,2,gems
guitar-learn-missions-lead,skill test (lead level 3),FALSE,song,traditional,basic melody,3,rollin' & tumblin'
guitar-learn-missions-lead,four fingers,FALSE,video,-,-,3,video: four fingers
guitar-learn-missions-lead,four fingers,FALSE,trainer,-,-,3,trainer: four fingers
guitar-learn-missions-lead,four fingers,FALSE,song,the yousicians,melody,3,fret by fret
guitar-learn-missions-lead,four fingers,FALSE,song,the yousicians,melody,3,four blocks from here
guitar-learn-missions-lead,four fingers,FALSE,song,the yousicians,melody,3,stairway to paris
guitar-learn-missions-lead,four fingers,FALSE,song,the yousicians,four-finger melody,3,barre your soul
guitar-learn-missions-lead,four fingers,FALSE,song,the yousicians,main melody,3,minor step
guitar-learn-missions-lead,pinky challenge,FALSE,trainer,-,-,3,trainer: pinky challenge
guitar-learn-missions-lead,pinky challenge,FALSE,song,ludwig van beethoven,melody,3,ode to joy (electro)
guitar-learn-missions-lead,pinky challenge,FALSE,song,the yousicians,basic melody,3,playing in the park
guitar-learn-missions-lead,pinky challenge,FALSE,song,the yousicians,basic melody,3,rasta bots
guitar-learn-missions-lead,pinky challenge,FALSE,song,traditional,basic melody,3,romanza
guitar-learn-missions-lead,pinky challenge,FALSE,song,claude debussy,main melody,3,clair de lune
guitar-learn-missions-knowledge,skill test (knowledge level 3),FALSE,quiz,-,-,3,quiz: knowledge review
guitar-learn-missions-knowledge,sharps & flats,FALSE,video,-,-,3,video: sharps & flats
guitar-learn-missions-knowledge,sharps & flats,FALSE,song,the yousicians,melody,3,"sharps go up, flats go down"
guitar-learn-missions-knowledge,sharps & flats,FALSE,video,-,-,3,video: root notes & types
guitar-learn-missions-knowledge,sharps & flats,FALSE,song,the yousicians,exercise,3,scale: minor pentatonic
guitar-learn-missions-knowledge,sharps & flats,FALSE,song,the yousicians,exercise,3,arpeggio: major & minor (moveable)
guitar-learn-missions-knowledge,sharps & flats,FALSE,video,-,-,3,video: beats per bar
guitar-learn-missions-knowledge,sharps & flats,FALSE,song,the yousicians,melody,3,fours & threes
guitar-learn-missions-knowledge,ear training: melodies,FALSE,puzzle,-,-,3,ear puzzles: short melodies
guitar-learn-missions-knowledge,ear training: melodies,FALSE,puzzle,-,-,3,ear puzzles: longer melodies
guitar-learn-missions-knowledge,ear training: melodies,FALSE,puzzle,-,-,3,ear puzzles :harmonies
guitar-learn-missions-knowledge,ear training: melodies,FALSE,finder,-,-,3,note-finder: minor pentatonic
guitar-learn-missions-rhythm,skill test (rhythm level 3),FALSE,song,the yousicians,basic rhythm,3,dramatic
guitar-learn-missions-rhythm,skill test (rhythm level 3),FALSE,trainer,-,-,3,chord trainer: E-Em-Am-C-G
guitar-learn-missions-rhythm,power chords,FALSE,video,-,-,3,video: power chords
guitar-learn-missions-rhythm,power chords,FALSE,trainer,-,-,3,chord trainer: power chords
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,power chords,3,minor step
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,power chords,3,poweroid
guitar-learn-missions-rhythm,power chords,FALSE,video,-,-,3,video: muting under fingers
guitar-learn-missions-rhythm,power chords,FALSE,trainer,-,-,3,trainer: muting under fingers
guitar-learn-missions-rhythm,power chords,FALSE,video,-,-,3,video: thumb muting
guitar-learn-missions-rhythm,power chords,FALSE,trainer,-,-,3,trainer: thumb muting
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,power chords,3,robot walk
guitar-learn-missions-rhythm,power chords,FALSE,video,-,-,3,video: stretching out
guitar-learn-missions-rhythm,power chords,FALSE,trainer,-,-,3,trainer: stretching out
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,power chords,3,open all night
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,power chord riff,3,12 bar blues
guitar-learn-missions-rhythm,power chords,FALSE,song,the yousicians,basic power chords,3,highway to helsinki
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,video,-,-,3,video: learn D
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,trainer,-,-,3,chord trainer: D
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,trainer,-,-,3,trainer: cowboy chord review 3
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,dame mas reggae
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,basic cowboy chords,3,funky tractor
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,golden gate
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,conveyor belt reggae
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,spaghetti western
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,video,-,-,3,video: learn A
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,trainer,-,-,3,chord trainer: A
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,trainer,-,-,3,trainer: cowboy chord review 4
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,robot walk
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,basic cowboy chords,3,bard's rock
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,heart of bolt
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,celtic punk
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,bling bling star
guitar-learn-missions-rhythm,cowboy chords 4: D & A,FALSE,song,the yousicians,cowboy chords,3,destination mars
guitar-learn-missions-lead,skill test (lead level 4),FALSE,song,the yousicians,four finger melody,4,wizard's walz
guitar-learn-missions-lead,picking down & up,FALSE,video,-,-,4,video: picking down & up
guitar-learn-missions-lead,picking down & up,FALSE,trainer,-,-,4,trainer: picking down & up
guitar-learn-missions-lead,picking down & up,FALSE,song,traditional,melody,4,scarborough fair (electro)
guitar-learn-missions-lead,picking down & up,FALSE,song,traditional,melody,4,greensleeeves (rock)
guitar-learn-missions-lead,picking down & up,FALSE,song,traditional,melody,4,aloha oe (surf)
guitar-learn-missions-lead,picking down & up,FALSE,song,the yousicians,melody,4,anarchy in the ai
guitar-learn-missions-lead,picking control,FALSE,trainer,-,-,4,trainer: picking control
guitar-learn-missions-lead,picking control,FALSE,song,traditional,main melody,4,o sole mio (in E)
guitar-learn-missions-lead,picking control,FALSE,song,traditional,main melody,4,i ain't got nobody
guitar-learn-missions-lead,picking control,FALSE,song,the yousicians,melody,4,armed with guitars
guitar-learn-missions-lead,picking control,FALSE,song,the yousicians,melody,4,sad android
guitar-learn-missions-knowledge,skill test (knowledge level 4),FALSE,quiz,-,-,4,quiz: knowledge review
