year,week,challenge,weeks ago,guitar,piano,ukulele,bass,voice
2017,37,cosmic blues (feat. noora louhimo),80,TRUE,TRUE,TRUE,TRUE,FALSE
2017,36,calm classical,81,TRUE,TRUE,TRUE,TRUE,FALSE
2017,35,country roads,82,TRUE,TRUE,TRUE,TRUE,FALSE
2017,34,echoes walls and mad jewels,83,TRUE,TRUE,TRUE,TRUE,FALSE
2017,33,the dance of the knights,84,TRUE,TRUE,TRUE,TRUE,FALSE
2017,32,one for chester,85,TRUE,TRUE,TRUE,TRUE,FALSE
2017,31,rocky road to dublin,86,TRUE,TRUE,TRUE,TRUE,FALSE
2017,30,the life and times of todd,87,TRUE,TRUE,TRUE,TRUE,FALSE
2017,29,four flat tires on a muddy road,88,TRUE,TRUE,TRUE,TRUE,FALSE
2017,28,painting the sky,89,TRUE,TRUE,TRUE,TRUE,FALSE
2017,27,spandex nightmares,90,TRUE,TRUE,TRUE,TRUE,FALSE
2017,26,sir uke,91,TRUE,TRUE,TRUE,TRUE,FALSE
2017,25,summer madness,92,TRUE,TRUE,TRUE,TRUE,FALSE
2017,24,baroque hits,93,TRUE,TRUE,TRUE,TRUE,FALSE
2017,23,from dublin with love,94,TRUE,TRUE,TRUE,TRUE,FALSE
2017,22,into the battle,95,TRUE,TRUE,TRUE,TRUE,FALSE
2017,21,one for cornell,96,TRUE,TRUE,TRUE,TRUE,FALSE
2017,20,common life & miracles,97,TRUE,TRUE,TRUE,TRUE,FALSE
2017,19,challenging visions,98,TRUE,TRUE,TRUE,TRUE,FALSE
2017,18,in the court of the weekly challenge,99,TRUE,TRUE,TRUE,TRUE,FALSE
2017,17,challenge in a bottle,100,TRUE,TRUE,TRUE,TRUE,FALSE
2017,16,the return of the chiptunes,101,TRUE,TRUE,TRUE,TRUE,FALSE
2017,15,get funky,102,TRUE,TRUE,TRUE,TRUE,FALSE
2017,14,lonely hearts,103,TRUE,TRUE,TRUE,TRUE,FALSE
2017,13,duckwalk avenue,104,TRUE,TRUE,TRUE,TRUE,FALSE
2017,12,dawn to dusk - classical adaptations,105,TRUE,TRUE,TRUE,TRUE,FALSE
